,,,,,Numéro,,,Quantité des composants,,,
,N°,"Fournisseur
Code","Prix de
Composant",Nom du Composant,"Numéro
Armoire",Casier,Type de Composant,"Dans le
Casier","Dans les
Projets",Endommagée,Endommagée
,458,DZD000548,1500,HC-06 DU MODULE SANS FIL BLUETOOTH,LAB03-A_A,3,,3,,,
,459,DZD000156,,BTBEE PRO HC05(BLUETOOTH),LAB03-A_A,3,,4,,,
,460,DZD000157,1300,XBEE BLUETOOTH BEE ADAPTER USB,LAB03-A_A,3,,14,,,
,461,,950,RF433MHZ RECEPTEUR ET EMETEUR,LAB03-A_A,3,,24,,,
,462,DZD004775,1500,MODULE DE COMMUNICATION SI4432 470MHZ 1000M,LAB03-A_A,3,,4,,,
,463,DZD000705,900,"MODULE DE COMMUNICATION USB VERS TTL FT232RL, CARTE FLASH GY232V2",LAB03-A_A,3,,4,,,
,464,,,ITEADSTUDIO TINY (arduino),LAB03-A_A,3,,4,,,
,465,,,USB TO TIL CONVERTER MODULE,LAB03-A_A,3,,2,,,
,466,,,PT100WZP,LAB03-A_A,4,,4,,,
,467,,,MODULE TRAXIL ACCERELATION GRAVITY,LAB03-A_A,4,,3,,,
,468,,,THERMOCOUPLE,LAB03-A_A,4,,1,,,
,469,,,PT100,LAB03-A_A,4,,5,,,
,470,,,EE-SX398,LAB03-A_A,4,,10,,,
,471,,,CONNECTEUR JACK,LAB03-A_A,4,,5,,,
,472,DZD000634,2700,MPX5050DP CAPTEUR DE PRESSION ) CALIBRÉ SILICON,LAB03-A_A,4,,12,,,
,473,,,CAPTEUR DE COURANT LA 55P,LAB03-A_A,4,,1,,,
,474,,,CAPTEUR DE COURANT LA 25NP,LAB03-A_A,4,,1,,,
,475,,,CAPTEUR DE COURANT HWCT 5A/5mA,LAB03-A_A,4,,20,,,
,476,,,ZMCT 118F 30A/30mA,LAB03-A_A,4,,10,,,
,477,,,CAPTEUR DE COURANT HWPT 2MA,LAB03-A_A,4,,5,,,
,478,,,MODULE WATAR SENSOR,LAB03-A_A,4,,10,,,
,479,,,MODULE 8 LED,LAB03-A_A,4,,5,,,
,480,DZD000177,400,CAPTEUR À ULTRASONS HC-SR04,LAB03-A_A,4,,10,,,
,,DZD,,HAUT DE PARLEUR ET CHARGEUR SANS FIL,LAB03-A_A,4,,5,,,
